"id","name","color","topology"
"surficial-none","No surficial unit",,"surficial"
"channel","Channel Fill","#ffffaa","surficial"
"newedam-group","Newedam Group","#e28c8c","bedrock"
"zebra-lower","Zebra Lower","#817BFC","bedrock"
"dabis","Dabis Formation","#EAF3D0","bedrock"
"omkyk","Omkyk Member","#9BD0B5","bedrock"
"zaris","Zaris Formation","green","bedrock"
"terrace","Fluvial terrace","#ff0000","surficial"
"tafel","Tafel Formation","#353f82","bedrock"
"zebra-upper","Upper Zebra Nappe","#4751D1","bedrock"
"urusis","Urusis Formation","#93988f","bedrock"
"arbeit-adelt-outlier","Arbeit Adelt Outlier","#00abff","bedrock"
"lower-plate","Lower Plate",,"bedrock"
"naukluft","Naukluft Nappe Complex","blue","bedrock"
"schwarzrand","Schwarzrand Subgroup",,"bedrock"
"fault-plane","Fault Plane","red","bedrock"
"tufa","Tufa","#ab9f6d","surficial"
"alluvial-fan","Fan deposits","#FFF0F0","surficial"
"cover","Cover","yellow","surficial"
"southern-pavian","Southern Pavian","#988e83","bedrock"
"colluvium","Colluvium","#ded097","surficial"
"bullsport-outlier","BÃ¼llsport outlier","#0099e3","bedrock"
"lemoenputs","Lemoenputs Formation","#9452c2","bedrock"
"old-alluvium","Colluvium","#ded097","surficial"
"upper-omkyk-grainstone","Upper Omkyk Grainstone","#099db3","bedrock"
"upper-omkyk","Upper Omkyk","#099db3","bedrock"
"urikos","Urikos Formation","#b8c7b5","bedrock"
"middle-omkyk-reef","Middle Omkyk Reef","#B5DAB8","bedrock"
"lower-omkyk","Lower Omkyk","#4DB6AF","bedrock"
"houghland","Houghland","#9AB79A","bedrock"
"upper-lemoenputs","Upper Lemoenputs","#a89ad9","bedrock"
"nama","Nama Group","#9BD0B5","bedrock"
"upper-unmeasured","Upper unmeasured","#1f335d","bedrock"
"lemoenputs-a","Lemoenputs Horizon A","#9754c6","bedrock"
"lower-lemoenputs","Lower Lemoenputs","#a477c3","bedrock"
"basement","Basement","pink","bedrock"
"aubslucht","Aubslucht Fm","#af7878","bedrock"
"zebra-nappe","Zebra Nappe","#817BFC","bedrock"
"dune","Dune Sand","#dbad54","surficial"
"dassie","Dassie Nappe","#785f5f","bedrock"
"adler","Adler Member","#353f82","bedrock"
"pavian","Pavian Nappe","#668296","bedrock"
"onis","Onis Formation","#4751D1","bedrock"
"lower-onis","Lower Onis","#3f48b3","bedrock"
"tsams-a","Tsams A Dolomite","#550036","bedrock"
"tsams-c","Tsams C Dolomite","#793e56","bedrock"
"chain","Chain Formation","#a34b75","bedrock"
"zebra-limestone","Zebra Limestone","#353f82","bedrock"
"middle-omkyk","Middle Omkyk","#B5DAB8","bedrock"
"kudu","Kudu Nappe","#5b401d","bedrock"
"middle-lemoenputs","Middle Lemoenputs","#ba88dd","bedrock"
"lemoenputs-conglomerate","Lemoenputs Conglomerate","#ad15a7","bedrock"
"lemoenputs-ooid","Lemoenputs Ooid Grainstone","#a89ad9","bedrock"
"ubisis","Ubisis Formation","#b594a4","bedrock"
"neuras","Neuras Formation","#a34b75","bedrock"
"tsams","Tsams Formation","#801f47","bedrock"
"northern-pavian","Northern Pavian","#6fbce3","bedrock"
"upper-onis","Upper Onis","#1f267a","bedrock"
"middle-onis","Middle Onis","#282f8b","bedrock"
"unknown","Unknown","#333333","bedrock"
"alluvium","Quaternary Alluvium","#FFFCD3","surficial"
"tsams-b","Tsams B Sandstone","#7d3653","bedrock"
